Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,Kevin Logan,M,9th,Stewart High School,93,98
1,Earl Bush,M,10th,Stewart High School,99,92
2,Jeffrey Williamson,M,10th,Stewart High School,98,98
3,Karen Dean,F,10th,Stewart High School,97,77
4,Rebecca Reyes,F,11th,Stewart High School,89,87
5,Alison Padilla,F,12th,Stewart High School,97,86
6,Crystal Hamilton,F,11th,Stewart High School,93,94
7,Antonio Finley,M,9th,Stewart High School,89,96
8,Kevin Morris,M,10th,Stewart High School,92,83
9,Charles Gonzalez,M,9th,Stewart High School,97,83
10,Tyler Newman,M,12th,Stewart High School,91,91
11,Jennifer Harrison,F,12th,Stewart High School,97,83
12,Jeffrey Ochoa,M,9th,Stewart High School,97,90
13,Kristina Fitzpatrick,F,10th,Stewart High School,95,80
14,John Gutierrez,M,10th,Stewart High School,93,89
15,Kevin Garcia,M,9th,Stewart High School,90,76
16,Tracy Garcia,F,12th,Stewart High School,97,88
17,Sarah Michael,F,11th,Stewart High School,93,74
18,Megan Shepherd,F,12th,Stewart High School,95,92
19,Steven Chambers,M,11th,Stewart High School,97,97
20,Elizabeth Saunders,F,10th,Stewart High School,95,68
21,James Sexton,M,12th,Stewart High School,95,76
22,Tammy Hawkins,F,12th,Stewart High School,90,90
23,Angela Castro,F,10th,Stewart High School,99,97
24,Julie Garza,F,9th,Stewart High School,93,91
25,James Malone,M,9th,Stewart High School,90,72
26,Brittany Smith,F,9th,Stewart High School,90,80
27,Virginia Ramsey,F,9th,Stewart High School,94,90
28,Eric Spencer,M,10th,Stewart High School,89,75
29,Alec Deleon,M,9th,Stewart High School,91,91
30,Pamela Carter,F,9th,Stewart High School,99,68
31,Eric Hill,M,12th,Stewart High School,94,80
32,Jonathan Logan,M,10th,Stewart High School,93,81
33,Keith Gibson,M,9th,Stewart High School,98,90
34,Sean Hartman,M,9th,Stewart High School,97,97
35,Karen Juarez,F,11th,Stewart High School,90,69
36,Daniel Wilson,M,11th,Stewart High School,94,74
37,Gregory Pope,M,12th,Stewart High School,97,77
38,Brooke Flores,F,10th,Stewart High School,98,71
39,Angela Rodriguez DVM,F,12th,Stewart High School,96,87
40,Wendy Henderson,F,10th,Stewart High School,90,82
41,Steven Mcmahon,M,9th,Stewart High School,90,76
42,Desiree Hanson,F,10th,Stewart High School,95,89
43,Daniel Perez,M,12th,Stewart High School,99,87
44,Terry Pierce,M,10th,Stewart High School,99,68
45,Cynthia Merritt,F,12th,Stewart High School,97,88
46,Isaac Benson,M,10th,Stewart High School,99,89
47,Bryan White,M,9th,Stewart High School,91,81
48,Christian Moody,M,10th,Stewart High School,96,91
49,Kurt Warren,M,9th,Stewart High School,95,98
50,Stacey Dean,F,9th,Stewart High School,99,84
51,Christina Perry,F,12th,Stewart High School,99,83
52,Zachary Macdonald,M,12th,Stewart High School,96,75
53,Seth Reyes,M,11th,Stewart High School,96,91
54,Angela Ruiz MD,F,10th,Stewart High School,97,79
55,Pamela Baker,F,9th,Stewart High School,95,85
56,Kevin Espinoza,M,11th,Stewart High School,97,95
57,Deanna Moore,F,12th,Stewart High School,97,83
58,Randy Williams,M,9th,Stewart High School,90,89
59,Krista Mcguire,F,10th,Stewart High School,94,91
60,Roger Wilson,M,9th,Stewart High School,93,81
61,Marvin Howell,M,11th,Stewart High School,90,73
62,Susan Fisher,F,11th,Stewart High School,97,82
63,Paul Johnson,M,12th,Stewart High School,99,90
64,Christopher Howard,M,9th,Stewart High School,96,73
65,Keith Newman,M,12th,Stewart High School,96,79
66,Christopher Stevens,M,10th,Stewart High School,90,75
67,Brian Murray,M,10th,Stewart High School,95,77
68,Jeffrey Beck,M,11th,Stewart High School,94,98
69,Mariah Hughes,F,9th,Stewart High School,91,93
70,Christine Hoover,F,12th,Stewart High School,89,85
71,Thomas Hodges,M,12th,Stewart High School,99,94
72,Derek Dillon,M,11th,Stewart High School,97,68
73,Cheyenne Murphy,F,9th,Stewart High School,98,68
74,Mrs. Heather Schwartz,F,10th,Stewart High School,95,87
75,Timothy Wagner,M,12th,Stewart High School,98,80
76,David Jackson,M,9th,Stewart High School,95,91
77,Matthew Gonzales,M,9th,Stewart High School,90,93
78,Samantha Hall,F,12th,Stewart High School,97,85
79,Christopher Robinson,M,9th,Stewart High School,95,87
80,Stacie Reynolds,F,11th,Stewart High School,92,74
81,Robert Martinez,M,9th,Stewart High School,98,70
82,Kathryn Esparza,F,11th,Stewart High School,89,81
83,Lindsay Barnett,F,11th,Stewart High School,99,92
84,Christie Rivers,F,10th,Stewart High School,98,70
85,Jennifer Cruz,F,10th,Stewart High School,92,85
86,Megan Dawson,F,9th,Stewart High School,90,87
87,Christopher Allen,M,11th,Stewart High School,89,78
88,Stephanie Mueller,F,12th,Stewart High School,96,81
89,Christine Bailey,F,12th,Stewart High School,93,84
90,Samantha Alvarez,F,9th,Stewart High School,96,91
91,Alicia White,F,10th,Stewart High School,95,79
92,Jean Gibson,F,10th,Stewart High School,93,69
93,Linda Cooper,F,11th,Stewart High School,89,81
94,Peter Taylor,M,10th,Stewart High School,96,93
95,Robert Cervantes,M,9th,Stewart High School,95,99
96,Steven Hendrix,M,11th,Stewart High School,90,74
97,John Mercado,M,11th,Stewart High School,91,78
98,Aaron Zamora MD,M,12th,Stewart High School,96,83
99,Michael Gordon,M,11th,Stewart High School,95,77
100,James Quinn,M,11th,Stewart High School,91,71
101,Crystal Hamilton,F,11th,Stewart High School,94,75
102,Jennifer Ramirez,F,12th,Stewart High School,97,99
103,Pamela Miller,F,11th,Stewart High School,95,89
104,Ricky Smith,M,11th,Stewart High School,99,86
105,Mark Castillo,M,10th,Stewart High School,89,75
106,Cassandra Graham,F,9th,Stewart High School,90,84
107,Julie Baker,F,9th,Stewart High School,97,81
108,Nicole Webster,F,9th,Stewart High School,96,89
109,Jessica Carter,F,10th,Stewart High School,95,74
110,Rick Cannon,M,11th,Stewart High School,97,68
111,Stephanie Lopez,F,9th,Stewart High School,91,93
112,Jay White,M,11th,Stewart High School,90,97
113,Susan Osborne,F,12th,Stewart High School,96,74
114,Jasmine Campos,F,12th,Stewart High School,98,72
115,Sarah Le,F,9th,Stewart High School,99,90
116,Leslie Costa,F,10th,Stewart High School,92,90
117,John Walker,M,12th,Stewart High School,93,88
118,Lisa Simpson,F,9th,Stewart High School,94,91
119,Karen Lane,F,11th,Stewart High School,89,87
120,Chris Beck,M,12th,Stewart High School,90,79
121,Jorge Mcintosh,M,10th,Stewart High School,99,87
122,Ashley Thompson,F,11th,Stewart High School,99,76
123,Kenneth Watkins,M,9th,Stewart High School,94,95
124,Travis Porter,M,11th,Stewart High School,97,95
125,Lisa Duncan,F,9th,Stewart High School,90,89
126,William Mitchell,M,10th,Stewart High School,97,85
127,Joshua Edwards,M,10th,Stewart High School,97,73
128,Aaron Mills,M,9th,Stewart High School,89,86
129,Daniel Parker,M,10th,Stewart High School,96,86
130,Kimberly Gaines,F,11th,Stewart High School,93,71
131,Lucas Smith,M,9th,Stewart High School,90,76
132,Christopher Powell,M,12th,Stewart High School,90,99
133,Alejandra Williams,F,10th,Stewart High School,89,98
134,Steven Washington,M,10th,Stewart High School,91,95
135,Jeffrey Gonzalez,M,12th,Stewart High School,93,99
136,Melanie Lester,F,10th,Stewart High School,94,83
137,Colin Moore,M,11th,Stewart High School,96,75
138,Rebecca Hobbs,F,9th,Stewart High School,98,81
139,Tamara Hampton,F,10th,Stewart High School,96,96
140,Linda Mann,F,11th,Stewart High School,91,87
141,Kevin Peterson,M,10th,Stewart High School,99,94
142,Christopher Greene,M,10th,Stewart High School,96,76
143,Michael Butler,M,10th,Stewart High School,91,95
144,Peter Perez,M,10th,Stewart High School,90,78
145,Matthew Cruz,M,11th,Stewart High School,98,72
146,Richard Hall,M,9th,Stewart High School,98,84
147,Timothy Valencia,M,12th,Stewart High School,95,68
148,Nicole Wright,F,12th,Stewart High School,94,97
149,Melissa Eaton,F,9th,Stewart High School,98,96
150,Joseph Carlson,M,11th,Stewart High School,91,80
